,month,day,fuel,moisture,drought,initial_spread,temp,humidity,wind,rain,area_burned
0,mar,fri,86.2,26.2,94.3,5.1,8.2,51,6.7,0.0,0.0
1,oct,tue,90.6,35.4,669.1,6.7,18.0,33,0.9,0.0,0.0
2,mar,fri,91.7,33.3,77.5,9.0,8.3,97,4.0,0.2,0.0
3,mar,sun,89.3,51.3,102.2,9.6,11.4,99,1.8,0.0,0.0
4,aug,sun,92.3,85.3,488.0,14.7,22.2,29,5.4,0.0,0.0
5,aug,mon,92.3,88.9,495.6,8.5,24.1,27,3.1,0.0,0.0
6,aug,mon,91.5,145.4,608.2,10.7,8.0,86,2.2,0.0,0.0
7,sep,tue,91.0,129.5,692.6,7.0,13.1,63,5.4,0.0,0.0
8,sep,sat,92.5,88.0,698.6,7.1,22.8,40,4.0,0.0,0.0
9,sep,sat,92.5,88.0,698.6,7.1,17.8,51,7.2,0.0,0.0
10,sep,sat,92.8,73.2,713.0,22.6,19.3,38,4.0,0.0,0.0
11,aug,fri,63.5,70.8,665.3,0.8,17.0,72,6.7,0.0,0.0
12,sep,mon,90.9,126.5,686.5,7.0,21.3,42,2.2,0.0,0.0
13,sep,wed,92.9,133.3,699.6,9.2,26.4,21,4.5,0.0,0.0
14,sep,fri,93.3,141.2,713.9,13.9,22.9,44,5.4,0.0,0.0
15,mar,sat,91.7,35.8,80.8,7.8,15.1,27,5.4,0.0,0.0
16,oct,mon,84.9,32.8,664.2,3.0,16.7,47,4.9,0.0,0.0
17,mar,wed,89.2,27.9,70.8,6.3,15.9,35,4.0,0.0,0.0
18,apr,sat,86.3,27.4,97.1,5.1,9.3,44,4.5,0.0,0.0
19,sep,tue,91.0,129.5,692.6,7.0,18.3,40,2.7,0.0,0.0
20,sep,mon,91.8,78.5,724.3,9.2,19.1,38,2.7,0.0,0.0
21,jun,sun,94.3,96.3,200.0,56.1,21.0,44,4.5,0.0,0.0
22,aug,sat,90.2,110.9,537.4,6.2,19.5,43,5.8,0.0,0.0
23,aug,sat,93.5,139.4,594.2,20.3,23.7,32,5.8,0.0,0.0
24,aug,sun,91.4,142.4,601.4,10.6,16.3,60,5.4,0.0,0.0
25,sep,fri,92.4,117.9,668.0,12.2,19.0,34,5.8,0.0,0.0
26,sep,mon,90.9,126.5,686.5,7.0,19.4,48,1.3,0.0,0.0
27,sep,sat,93.4,145.4,721.4,8.1,30.2,24,2.7,0.0,0.0
28,sep,sun,93.5,149.3,728.6,8.1,22.8,39,3.6,0.0,0.0
29,sep,fri,94.3,85.1,692.3,15.9,25.4,24,3.6,0.0,0.0
30,sep,mon,88.6,91.8,709.9,7.1,11.2,78,7.6,0.0,0.0
31,sep,fri,88.6,69.7,706.8,5.8,20.6,37,1.8,0.0,0.0
32,sep,sun,91.7,75.6,718.3,7.8,17.7,39,3.6,0.0,0.0
33,sep,mon,91.8,78.5,724.3,9.2,21.2,32,2.7,0.0,0.0
34,sep,tue,90.3,80.7,730.2,6.3,18.2,62,4.5,0.0,0.0
35,oct,tue,90.6,35.4,669.1,6.7,21.7,24,4.5,0.0,0.0
36,oct,fri,90.0,41.5,682.6,8.7,11.3,60,5.4,0.0,0.0
37,oct,sat,90.6,43.7,686.9,6.7,17.8,27,4.0,0.0,0.0
38,mar,tue,88.1,25.7,67.6,3.8,14.1,43,2.7,0.0,0.0
39,jul,tue,79.5,60.6,366.7,1.5,23.3,37,3.1,0.0,0.0
40,aug,sat,90.2,96.9,624.2,8.9,18.4,42,6.7,0.0,0.0
41,aug,tue,94.8,108.3,647.1,17.0,16.6,54,5.4,0.0,0.0
42,sep,sat,92.5,88.0,698.6,7.1,19.6,48,2.7,0.0,0.0
43,sep,wed,90.1,82.9,735.7,6.2,12.9,74,4.9,0.0,0.0
44,sep,wed,94.3,85.1,692.3,15.9,25.9,24,4.0,0.0,0.0
45,sep,mon,90.9,126.5,686.5,7.0,14.7,70,3.6,0.0,0.0
46,jul,mon,94.2,62.3,442.9,11.0,23.0,36,3.1,0.0,0.0
47,mar,mon,87.2,23.9,64.7,4.1,11.8,35,1.8,0.0,0.0
48,mar,mon,87.6,52.2,103.8,5.0,11.0,46,5.8,0.0,0.0
49,sep,thu,92.9,137.0,706.4,9.2,20.8,17,1.3,0.0,0.0
50,aug,sun,90.2,99.6,631.2,6.3,21.5,34,2.2,0.0,0.0
51,aug,wed,92.1,111.2,654.1,9.6,20.4,42,4.9,0.0,0.0
52,aug,wed,92.1,111.2,654.1,9.6,20.4,42,4.9,0.0,0.0
53,aug,thu,91.7,114.3,661.3,6.3,17.6,45,3.6,0.0,0.0
54,sep,thu,92.9,137.0,706.4,9.2,27.7,24,2.2,0.0,0.0
55,sep,tue,90.3,80.7,730.2,6.3,17.8,63,4.9,0.0,0.0
56,oct,sun,92.6,46.5,691.8,8.8,13.8,50,2.7,0.0,0.0
57,feb,mon,84.0,9.3,34.0,2.1,13.9,40,5.4,0.0,0.0
58,feb,fri,86.6,13.2,43.0,5.3,12.3,51,0.9,0.0,0.0
59,mar,sun,89.3,51.3,102.2,9.6,11.5,39,5.8,0.0,0.0
60,mar,sun,89.3,51.3,102.2,9.6,5.5,59,6.3,0.0,0.0
61,aug,thu,93.0,75.3,466.6,7.7,18.8,35,4.9,0.0,0.0
62,aug,sun,90.2,99.6,631.2,6.3,20.8,33,2.7,0.0,0.0
63,aug,mon,91.1,103.2,638.8,5.8,23.1,31,3.1,0.0,0.0
64,aug,thu,91.7,114.3,661.3,6.3,18.6,44,4.5,0.0,0.0
65,sep,fri,92.4,117.9,668.0,12.2,23.0,37,4.5,0.0,0.0
66,sep,fri,92.4,117.9,668.0,12.2,19.6,33,5.4,0.0,0.0
