category,title,also_buy,brand,rank,also_view,main_cat,Price,asin,details,descriptionstring
[]," Books"" />",[],Joan M. Lexau,"1,683,587 in Books (",['0590457292'],Books,5.48,B001D4OHQA,"{'Publisher:': 'Scholastic (1974)', 'Language:': 'English', 'ASIN:': 'B001D4OHQA', '\n    Package Dimensions: \n    ': '7.5 x 5.1 x 0.4 inches', 'Shipping Weight:': '5.6 ounces'}","Staining on cover, minimal wear and creasing. Pages are clean and strong, binding is tight. Buy with confidence, we ship daily!"
"['Books', 'Education & Teaching', 'Schools & Teaching']",The Core Knowledge Sequence Content and Skill Guidelines for Grades K-8/Preschool (double volume),"['0325008957', '1138188492', '1890517208', '1401881971', '1412955572', '0805880135', '1575424800', '0205422195', '0132619318', '1598845349', '0325008108']",Core Knowledge Foundation,"974,014 in Books (","['0385316402', '1890517208', '1933486058', '1933486236']",Books,21.4,B0071QRBFS,"{'Paperback:': '400 pages', 'Publisher:': 'Core Knowledge Foundation (2010)', 'Language:': 'English', 'ISBN-10:': '1890517259', 'ISBN-13:': '978-1890517250', 'ASIN:': 'B0071QRBFS', '\n    Package Dimensions: \n    ': '8.4 x 5.8 x 0.7 inches', 'Shipping Weight:': '12.6 ounces'}",A double volume with two &quot;front covers.&quot;
[],Stranger In The Woods,[],Leah Fried,"17,588,750 in Books (",[],Books,17.0,965906523X,"{'Hardcover:': '202 pages', 'Publisher:': 'Feldheim (2002)', 'Language:': 'English', 'ISBN-10:': '965906523X', 'ISBN-13:': '978-9659065233'}","Stranger in the woods is a dramatic tale of courage, inner strength and triumph,as two young boys seek to solve the mystery in the woods and make choices that will change their lives forever. Just sit back and let the drama unfold-the riveting plot will keep you spellbound until the surprising conclusion!,,"
[],"Hansel and Gretel :  A Fairy Opera, Vocal Score",[],"Adelheid ; Bache, Constance ; Humperdinck, E. ; Kleinmichel, R. Wette","3,680,123 in Books (",['0793506603'],Books,10.95,B0011ZV86I,"{'Publisher:': 'G. Schirmer, Inc. (1957)', 'ASIN:': 'B0011ZV86I', '\n    Package Dimensions: \n    ': '10.8 x 7.2 x 0.7 inches', 'Shipping Weight:': '1.2 pounds'}","Complete vocal score, words and music."
"['Books', 'History', 'Asia']",Genghis Khan - Conqueror Of The World,[],Leo De Hartog,"5,083,249 in Books (",[],Books,3.5,B001LIQC7A,"{'Hardcover:': '230 pages', 'Publisher:': 'Barnes & Noble; Reprint. edition (1989)', 'Language:': 'English', 'ISBN-10:': '0760711925', 'ISBN-13:': '978-0760711927', 'ASIN:': 'B001LIQC7A', '\n    Package Dimensions: \n    ': '8.3 x 5.6 x 1 inches', 'Shipping Weight:': '13.6 ounces ('}",a great biography of Ghengis Khan
[],The Singapore Story Abridged Edition,"['981438528X', '0262019124']",Lee Kuan Yew,"1,088,124 in Books (","['0060197765', '9814642916', '9812049843']",Books,8.34,9810124570,"{'Publisher:': 'FEDERAL/TIMES MEDIA; First Edition edition (2000)', 'Language:': 'English', 'ISBN-10:': '9810124570', 'ISBN-13:': '978-9810124571', '\n    Package Dimensions: \n    ': '9.1 x 6 x 1 inches', 'Shipping Weight:': '1.2 pounds'}","This book traces Lee Kuan Yew's boyhood, his Japanese occupation experience, his four years in England as a student when his political views took shape, and his work preparing for the launch of the People's Action Party...,,"
[],The Shaun Cassidy story,[],Maggi Russell,"4,349,695 in Books (",[],Books,148.0,B0007AN7QW,"{'Hardcover:': '61 pages', 'Publisher:': 'Paradise Press; First Edition edition (1978)', 'Language:': 'English', 'ISBN-10:': '0890092583', 'ISBN-13:': '978-0890092583', 'ASIN:': 'B0007AN7QW', '\n    Product Dimensions: \n    ': '9.5 x 6 x 1 inches', 'Shipping Weight:': '12 ounces ('}","Hardcover is in EXCELLENT Condition; Always Compare Feedback! Insured Shipping.,,"
"['Books', 'Reference']",Richard Scarry's Best Picture Dictionary Ever/hui Tiao De Tuhua Cidian (Chinese Edition),[],Richard Scarry,"3,745,252 in Books (","['030715548X', '0307155102']",Books,18.95,722107772X,"{'Publisher:': 'Golden Press (1994)', 'ISBN-10:': '722107772X', 'ISBN-13:': '978-7221077721', '\n    Package Dimensions: \n    ': '11.2 x 9.8 x 0.4 inches', 'Shipping Weight:': '1 pounds ('}","Cleverly illustrated book with words from A to Z. Sentences follow most words, and simplified Chinese translation follows all English words and pharses. Excellent book for anyone who wants to learn English or Mandarin."
[],Christmas Vests for Kids Sizes 4 - 14 (Leisure Arts Leaflet # 611),[],,"7,408,152 in Books (",[],Books,2.98,B0090C6EXQ,"{'Pamphlet:': '6 pages', 'Publisher:': 'Leisure Arts (1988)', 'Language:': 'English', 'ASIN:': 'B0090C6EXQ', '\n    Package Dimensions: \n    ': '11.5 x 8.5 x 0.2 inches', 'Shipping Weight:': '0.3 ounces'}",Christmas Vests for Kids Sizes 4 - 14 (Leisure Arts Leaflet # 611) Pamphlet  1988
[],Mellone's Specialized Cachet Catalog of First Day Covers of the 1950's Volume I #987-1068,[],Michael Mellone,"7,993,676 in Books (",[],Books,59.99,B00O38V8FG,"{'Publisher:': 'FDC Publishing (1983)', 'Language:': 'English', 'ASIN:': 'B00O38V8FG', '\n    Package Dimensions: \n    ': '9 x 6 x 0.5 inches', 'Shipping Weight:': '14.1 ounces'}",Volume I #987-1068
